,sku,price,attribute
0,AAFE60E,60990,1
1,AAFE40,56990,1
2,AAFE45,57990,1
3,AAFE50,58990,1
4,AAFE60,62990,1
5,AAFE80,66990,1
6,AAFE90,68990,1
7,AET40,48990,1
8,AF40,67990,1
9,AF45,67990,1
10,AF50,69990,1
11,AF60,73990,1
12,AF80,79990,1
13,AF90,82990,1
14,AKL30,46990,1
15,AKL40,48990,1
16,AML100,60990,1
17,AML30,47990,1
18,AML35,48990,1
19,AML40,49990,1
20,AML40P,53990,1
21,AML45,49990,1
22,AML45P,54990,1
23,AML50,50990,1
24,AML60,54990,1
25,AML60E,52990,1
26,AML60P,57990,1
27,AML70,56990,1
28,AML80,57990,1
29,AML80P,65990,1
30,AML90,59990,1
31,AML90P,67990,1
32,AMO100,55990,1
33,AMO60,50990,1
34,AMO60E,48990,1
35,AMO60P,54990,1
36,AMO70,52990,1
37,AMO80,53990,1
38,AMO80P,61990,1
39,AMO90,54990,1
40,AMO90P,63990,1
41,AR20,61990,1
42,AS105,61990,1
43,AS110,61990,1
44,AS110MAGIC,57990,1
45,AS110P,70990,1
46,AS110VT,58990,1
47,AS95,60990,1
48,ASL90,72990,1
49,ASM105,56990,1
50,ASM110,56990,1
51,ASM95,55990,1
52,ASZB45,61990,1
53,ASZB60,64990,1
54,ASZHS45,72990,1
55,ASZHS60,75990,1
56,ATF60,53990,1
57,ATF60P,59990,1
58,AVZ30,44990,1
59,EF50,44990,1
60,EF60,45990,1
61,EF60_72,49990,1
62,EF80_72,0,1
63,EFT50,47990,1
64,EFT50_68,48990,1
65,EFT50_68E,43990,1
66,EFT50F,46990,1
67,EFT60,48990,1
68,EFT60_68,49990,1
69,EFT60_68E,46990,1
70,EFT60F,47990,1
71,EFT90,0,1
72,F100,59990,1
73,F30,45990,1
74,F35,46990,1
75,F40,47990,1
76,F45,47990,1
77,F50,48990,1
78,F60,52990,1
79,F60E,50990,1
80,F70,54990,1
81,F80,56990,1
82,F90,57990,1
83,FFM60,50990,1
84,FFZ45,51990,1
85,FFZ50,52990,1
86,FFZ60,54990,1
87,FFZ70,55990,1
88,FFZ80,56990,1
89,FFZ90,58990,1
90,FKF30,44990,1
91,FKF35,45990,1
92,FKF40,46990,1
93,FKF45,46990,1
94,FKF50,47990,1
95,FKF60,49990,1
96,FKF70,49990,1
97,FKF80,50990,1
98,FKF90,51990,1
99,FMF30,42990,1
100,FMF35,42990,1
101,FMF40,43990,1
102,FMF45,43990,1
103,FMF50,43990,1
104,FMF60,45990,1
105,FMF70,45990,1
106,FMF80,46990,1
107,FMF90,47990,1
108,FMFNY20,36990,1
109,FMFSL60,53990,1
110,FMFSZ,44990,1
111,FMFVZ30,37990,1
112,FNY20,40990,1
113,FSL60,61990,1
114,FSZ,54990,1
115,FVZ30,40990,1
116,K40,75990,1
117,K40R,69990,1
118,K60,83990,1
119,K60F,104990,1
120,K60R,75990,1
121,KF60,72990,1
122,KF60F,93990,1
123,KMTB60,82990,1
124,KMTB601F,88990,1
125,KMTB602F,96990,1
126,KMTB60F,103990,1
127,KMTB60K,89990,1
128,KMTH60,84990,1
129,KMTH60W,83990,1
130,KMTH75W,83990,1
131,KTB60,83990,1
