,sku,price,attribute
0,AAFE60E,86990,2
1,AAFE60E,86990,3
2,AAFE60E,86990,4
3,AAFE60E,86990,5
4,AAFE40,75990,2
5,AAFE40,75990,3
6,AAFE40,75990,4
7,AAFE40,75990,5
8,AAFE45,77990,2
9,AAFE45,77990,3
10,AAFE45,77990,4
11,AAFE45,77990,5
12,AAFE50,79990,2
13,AAFE50,79990,3
14,AAFE50,79990,4
15,AAFE50,79990,5
16,AAFE60,88990,2
17,AAFE60,88990,3
18,AAFE60,88990,4
19,AAFE60,88990,5
20,AAFE80,97990,2
21,AAFE80,97990,3
22,AAFE80,97990,4
23,AAFE80,97990,5
24,AAFE90,101990,2
25,AAFE90,101990,3
26,AAFE90,101990,4
27,AAFE90,101990,5
28,AET40,61990,2
29,AET40,61990,3
30,AET40,61990,4
31,AET40,61990,5
32,AF40,104990,2
33,AF40,104990,3
34,AF40,104990,4
35,AF40,104990,5
36,AF45,106990,2
37,AF45,106990,3
38,AF45,106990,4
39,AF45,106990,5
40,AF50,109990,2
41,AF50,109990,3
42,AF50,109990,4
43,AF50,109990,5
44,AF60,117990,2
45,AF60,117990,3
46,AF60,117990,4
47,AF60,117990,5
48,AF80,127990,2
49,AF80,127990,3
50,AF80,127990,4
51,AF80,127990,5
52,AF90,130990,2
53,AF90,130990,3
54,AF90,130990,4
55,AF90,130990,5
56,AKL30,56990,2
57,AKL30,56990,3
58,AKL30,56990,4
59,AKL30,56990,5
60,AKL40,61990,2
61,AKL40,61990,3
62,AKL40,61990,4
63,AKL40,61990,5
64,AML100,95990,2
65,AML100,95990,3
66,AML100,95990,4
67,AML100,95990,5
68,AML30,58990,2
69,AML30,58990,3
70,AML30,58990,4
71,AML30,58990,5
72,AML35,60990,2
73,AML35,60990,3
74,AML35,60990,4
75,AML35,60990,5
76,AML40,62990,2
77,AML40,62990,3
78,AML40,62990,4
79,AML40,62990,5
80,AML40P,77990,2
81,AML40P,77990,3
82,AML40P,77990,4
83,AML40P,77990,5
84,AML45,64990,2
85,AML45,64990,3
86,AML45,64990,4
87,AML45,64990,5
88,AML45P,79990,2
89,AML45P,79990,3
90,AML45P,79990,4
91,AML45P,79990,5
92,AML50,68990,2
93,AML50,68990,3
94,AML50,68990,4
95,AML50,68990,5
96,AML60,74990,2
97,AML60,74990,3
98,AML60,74990,4
99,AML60,74990,5
100,AML60E,72990,2
101,AML60E,72990,3
102,AML60E,72990,4
103,AML60E,72990,5
104,AML60P,98990,2
105,AML60P,98990,3
106,AML60P,98990,4
107,AML60P,98990,5
108,AML70,78990,2
109,AML70,78990,3
110,AML70,78990,4
111,AML70,78990,5
112,AML80,83990,2
113,AML80,83990,3
114,AML80,83990,4
115,AML80,83990,5
116,AML80P,116990,2
117,AML80P,116990,3
118,AML80P,116990,4
119,AML80P,116990,5
120,AML90,87990,2
121,AML90,87990,3
122,AML90,87990,4
123,AML90,87990,5
124,AML90P,122990,2
125,AML90P,122990,3
126,AML90P,122990,4
127,AML90P,122990,5
128,AMO100,90990,2
129,AMO100,90990,3
130,AMO100,90990,4
131,AMO100,90990,5
132,AMO60,71990,2
133,AMO60,71990,3
134,AMO60,71990,4
135,AMO60,71990,5
136,AMO60E,68990,2
137,AMO60E,68990,3
