PriceList.Code,BaseValue,PriceRule.Code,Item.RefCode,Item.Attribute.0.Value,Item.Cleared.RefCode,ItemPrice
HUF-2025-Q1S1,1390,PR00010,FLB,0,FLB,0
HUF-2025-Q1S1,250,PR00010,M1,0,M1,0
HUF-2025-Q1S1,41190,PR00010,PIFK,0,PIFK,0
HUF-2025-Q1S1,47000,PR00010,TKFL45,0,TKFL45,0
HUF-2025-Q1S1,59800,PR00010,TKFL60,0,TKFL60,0
HUF-2025-Q1S1,46900,PR00010,TVKL300,0,TVKL300,0
HUF-2025-Q1S1,91800,PR00010,TVS_MOB,0,TVS_MOB,0
HUF-2025-Q1S1,97400,PR00010,TVS_M,0,TVS_M,0
HUF-2025-Q1S1,34500,PR00010,TKKE,0,TKKE,0
HUF-2025-Q1S1,149900,PR00010,TGEA45,0,TGEA45,0
HUF-2025-Q1S1,223400,PR00010,TVKK40H_KT,0,TVKK40H,0
HUF-2025-Q1S1,383200,PR00010,TVKK60N,0,TVKK60N,0
HUF-2025-Q1S1,0,PR00010_CF00001,MPF,0,MPF,0
HUF-2025-Q1S1,149900,PR00010,TGEA60,0,TGEA60,0
HUF-2025-Q1S1,91800,PR00010,TVS_MOJ,0,TVS_MOJ,0
HUF-2025-Q1S1,50900,PR00010,TVKL400,0,TVKL400,0
HUF-2025-Q1S1,0,PR00010_CF00002,CT,0,CT,0
HUF-2025-Q1S1,0,PR00010_CF00002,MKP,0,MKP,0
HUF-2025-Q1S1,42200,PR00010,TKKSE45,0,TKKSE45,0
HUF-2025-Q1S1,42200,PR00010,TKKSE60,0,TKKSE60,0
HUF-2025-Q1S1,41990,PR00010,AVZ30_J,1,AVZ30,44990
HUF-2025-Q1S1,41990,PR00010,AVZ30_J,2,AVZ30,44990
HUF-2025-Q1S1,41990,PR00010,AVZ30_J,3,AVZ30,44990
HUF-2025-Q1S1,41990,PR00010,AVZ30_J,4,AVZ30,44990
HUF-2025-Q1S1,41990,PR00010,AVZ30_J,5,AVZ30,44990
HUF-2025-Q1S1,41990,PR00010,AVZ30_J,7,AVZ30,49990
HUF-2025-Q1S1,41990,PR00010,AVZ30_B,1,AVZ30,44990
HUF-2025-Q1S1,41990,PR00010,AVZ30_B,2,AVZ30,44990
HUF-2025-Q1S1,41990,PR00010,AVZ30_B,3,AVZ30,44990
HUF-2025-Q1S1,41990,PR00010,AVZ30_B,4,AVZ30,44990
HUF-2025-Q1S1,41990,PR00010,AVZ30_B,5,AVZ30,44990
HUF-2025-Q1S1,41990,PR00010,AVZ30_B,7,AVZ30,49990
HUF-2025-Q1S1,37990,PR00010,FNY20,1,FNY20,40990
HUF-2025-Q1S1,37990,PR00010,FNY20,2,FNY20,40990
HUF-2025-Q1S1,37990,PR00010,FNY20,3,FNY20,40990
HUF-2025-Q1S1,37990,PR00010,FNY20,4,FNY20,40990
HUF-2025-Q1S1,37990,PR00010,FNY20,5,FNY20,40990
HUF-2025-Q1S1,37990,PR00010,FNY20,7,FNY20,44990
HUF-2025-Q1S1,35990,PR00010,FMFNY20,1,FMFNY20,36990
HUF-2025-Q1S1,35990,PR00010,FMFNY20,2,FMFNY20,36990
HUF-2025-Q1S1,35990,PR00010,FMFNY20,3,FMFNY20,36990
HUF-2025-Q1S1,35990,PR00010,FMFNY20,4,FMFNY20,36990
HUF-2025-Q1S1,35990,PR00010,FMFNY20,5,FMFNY20,36990
HUF-2025-Q1S1,35990,PR00010,FMFNY20,7,FMFNY20,38990
HUF-2025-Q1S1,37990,PR00010,FVZ30_J,1,FVZ30,40990
HUF-2025-Q1S1,37990,PR00010,FVZ30_J,2,FVZ30,41990
HUF-2025-Q1S1,37990,PR00010,FVZ30_J,3,FVZ30,41990
HUF-2025-Q1S1,37990,PR00010,FVZ30_J,4,FVZ30,41990
HUF-2025-Q1S1,37990,PR00010,FVZ30_J,5,FVZ30,41990
HUF-2025-Q1S1,37990,PR00010,FVZ30_J,7,FVZ30,46990
HUF-2025-Q1S1,35990,PR00010,FMFVZ30_J,1,FMFVZ30,37990
HUF-2025-Q1S1,35990,PR00010,FMFVZ30_J,2,FMFVZ30,37990
HUF-2025-Q1S1,35990,PR00010,FMFVZ30_J,3,FMFVZ30,37990
HUF-2025-Q1S1,35990,PR00010,FMFVZ30_J,4,FMFVZ30,37990
HUF-2025-Q1S1,35990,PR00010,FMFVZ30_J,5,FMFVZ30,37990
HUF-2025-Q1S1,35990,PR00010,FMFVZ30_J,7,FMFVZ30,40990
