PriceList.Code,BaseValue,PriceRule.Code,Item.RefCode,Item.Attribute.0.Value
HUF-2025-Q12603,41990,PR00010,AVZ30_J,0
HUF-2025-Q12603,41990,PR00010,AVZ30_B,0
HUF-2025-Q12603,35990,PR00010,FMFVZ30_J,0
HUF-2025-Q12603,35990,PR00010,FMFVZ30_B,0
HUF-2025-Q12603,1390,PR00010,FLB,0
HUF-2025-Q12603,250,PR00010,M1,0
HUF-2025-Q12603,41190,PR00010,PIFK,0
HUF-2025-Q12603,47000,PR00010,TKFL45,0
HUF-2025-Q12603,59800,PR00010,TKFL60,0
HUF-2025-Q12603,46900,PR00010,TVKL300,0
HUF-2025-Q12603,91800,PR00010,TVS_MOB,0
HUF-2025-Q12603,97400,PR00010,TVS_M,0
HUF-2025-Q12603,34500,PR00010,TKKE,0
HUF-2025-Q12603,149900,PR00010,TGEA45,0
HUF-2025-Q12603,223400,PR00010,TVKK40H_KT,0
HUF-2025-Q12603,383200,PR00010,TVKK60N,0
HUF-2025-Q12603,0,PR00010_CF00001,MPF,0
HUF-2025-Q12603,149900,PR00010,TGEA60,0
HUF-2025-Q12603,87990,PR00010,FU80F,0
HUF-2025-Q12603,94490,PR00010,FZN80,0
HUF-2025-Q12603,91800,PR00010,TVS_MOJ,0
HUF-2025-Q12603,50900,PR00010,TVKL400,0
HUF-2025-Q12603,0,PR00010_CF00002,CT,0
HUF-2025-Q12603,0,PR00010_CF00002,MKP,0
HUF-2025-Q12603,42200,PR00010,TKKSE45,0
HUF-2025-Q12603,42200,PR00010,TKKSE60,0
HUF-2025-Q12603,320,PR00010,M15,0
HUF-2025-Q12603,51990,PR00011,AAFE40_J,1
HUF-2025-Q12603,66990,PR00011,AAFE40_J,2
HUF-2025-Q12603,66990,PR00011,AAFE40_J,3
HUF-2025-Q12603,66990,PR00011,AAFE40_J,4
HUF-2025-Q12603,66990,PR00011,AAFE40_J,5
HUF-2025-Q12603,71990,PR00011,AAFE40_J,7
HUF-2025-Q12603,51990,PR00011,AAFE40_B,1
HUF-2025-Q12603,66990,PR00011,AAFE40_B,2
HUF-2025-Q12603,66990,PR00011,AAFE40_B,3
HUF-2025-Q12603,66990,PR00011,AAFE40_B,4
HUF-2025-Q12603,66990,PR00011,AAFE40_B,5
HUF-2025-Q12603,71990,PR00011,AAFE40_B,7
HUF-2025-Q12603,53990,PR00011,AAFE45_J,1
HUF-2025-Q12603,68990,PR00011,AAFE45_J,2
HUF-2025-Q12603,68990,PR00011,AAFE45_J,3
HUF-2025-Q12603,68990,PR00011,AAFE45_J,4
HUF-2025-Q12603,68990,PR00011,AAFE45_J,5
HUF-2025-Q12603,73990,PR00011,AAFE45_J,7
HUF-2025-Q12603,53990,PR00011,AAFE45_B,1
HUF-2025-Q12603,68990,PR00011,AAFE45_B,2
HUF-2025-Q12603,68990,PR00011,AAFE45_B,3
HUF-2025-Q12603,68990,PR00011,AAFE45_B,4
HUF-2025-Q12603,68990,PR00011,AAFE45_B,5
HUF-2025-Q12603,73990,PR00011,AAFE45_B,7
HUF-2025-Q12603,56990,PR00011,AAFE50_J,1
HUF-2025-Q12603,70990,PR00011,AAFE50_J,2
HUF-2025-Q12603,70990,PR00011,AAFE50_J,3
HUF-2025-Q12603,70990,PR00011,AAFE50_J,4
HUF-2025-Q12603,70990,PR00011,AAFE50_J,5
HUF-2025-Q12603,76990,PR00011,AAFE50_J,7
HUF-2025-Q12603,56990,PR00011,AAFE50_B,1
HUF-2025-Q12603,70990,PR00011,AAFE50_B,2
HUF-2025-Q12603,70990,PR00011,AAFE50_B,3
HUF-2025-Q12603,70990,PR00011,AAFE50_B,4
HUF-2025-Q12603,70990,PR00011,AAFE50_B,5
HUF-2025-Q12603,76990,PR00011,AAFE50_B,7
HUF-2025-Q12603,57990,PR00011,AAFE60_J,1
HUF-2025-Q12603,85990,PR00011,AAFE60_J,2
HUF-2025-Q12603,85990,PR00011,AAFE60_J,3
HUF-2025-Q12603,85990,PR00011,AAFE60_J,4
HUF-2025-Q12603,85990,PR00011,AAFE60_J,5
HUF-2025-Q12603,91990,PR00011,AAFE60_J,7
HUF-2025-Q12603,57990,PR00011,AAFE60_B,1
HUF-2025-Q12603,85990,PR00011,AAFE60_B,2
HUF-2025-Q12603,85990,PR00011,AAFE60_B,3
HUF-2025-Q12603,85990,PR00011,AAFE60_B,4
HUF-2025-Q12603,85990,PR00011,AAFE60_B,5
HUF-2025-Q12603,91990,PR00011,AAFE60_B,7
HUF-2025-Q12603,57990,PR00011,AAFE60_K,1
HUF-2025-Q12603,85990,PR00011,AAFE60_K,2
HUF-2025-Q12603,85990,PR00011,AAFE60_K,3
HUF-2025-Q12603,85990,PR00011,AAFE60_K,4
HUF-2025-Q12603,85990,PR00011,AAFE60_K,5
HUF-2025-Q12603,91990,PR00011,AAFE60_K,7
HUF-2025-Q12603,73990,PR00011,AAFE80,1
HUF-2025-Q12603,101990,PR00011,AAFE80,2
HUF-2025-Q12603,101990,PR00011,AAFE80,3
HUF-2025-Q12603,101990,PR00011,AAFE80,4
HUF-2025-Q12603,101990,PR00011,AAFE80,5
HUF-2025-Q12603,107990,PR00011,AAFE80,7
HUF-2025-Q12603,82990,PR00011,AAFE90,1
HUF-2025-Q12603,106990,PR00011,AAFE90,2
HUF-2025-Q12603,106990,PR00011,AAFE90,3
HUF-2025-Q12603,106990,PR00011,AAFE90,4
HUF-2025-Q12603,106990,PR00011,AAFE90,5
HUF-2025-Q12603,112990,PR00011,AAFE90,7
HUF-2025-Q12603,43990,PR00011,AML30_J,1
HUF-2025-Q12603,53990,PR00011,AML30_J,2
HUF-2025-Q12603,53990,PR00011,AML30_J,3
HUF-2025-Q12603,53990,PR00011,AML30_J,4
HUF-2025-Q12603,53990,PR00011,AML30_J,5
HUF-2025-Q12603,54990,PR00011,AML30_J,7
HUF-2025-Q12603,43990,PR00011,AML30_B,1
HUF-2025-Q12603,53990,PR00011,AML30_B,2
HUF-2025-Q12603,53990,PR00011,AML30_B,3
HUF-2025-Q12603,53990,PR00011,AML30_B,4
HUF-2025-Q12603,53990,PR00011,AML30_B,5
HUF-2025-Q12603,54990,PR00011,AML30_B,7
HUF-2025-Q12603,43990,PR00011,AKL30,1
HUF-2025-Q12603,52990,PR00011,AKL30,2
HUF-2025-Q12603,52990,PR00011,AKL30,3
HUF-2025-Q12603,52990,PR00011,AKL30,4
HUF-2025-Q12603,52990,PR00011,AKL30,5
HUF-2025-Q12603,54990,PR00011,AKL30,7
